timestamp,hour,dayofweek,is_weekend,co2_lag1,co2_lag2,co2_lag3,co2_lag24,co2_roll3,co2_roll6,temperature_c,humidity_pct,occupancy_count,target,y
2025-06-03 00:00:00,0,1,0,769.0,851.5,944.0,420.0,854.8333333333334,987.5833333333334,25.9,81.8,0,701.0,647.6
2025-06-03 01:00:00,1,1,0,701.0,769.0,851.5,423.2,773.8333333333334,907.3166666666667,25.25,81.6,0,647.6,623.0
2025-06-03 02:00:00,2,1,0,647.6,701.0,769.0,420.6,705.8666666666667,828.5833333333334,25.02,84.9,0,623.0,576.6
2025-06-03 03:00:00,3,1,0,623.0,647.6,701.0,426.0,657.1999999999999,756.0166666666665,24.99,84.4,0,576.6,534.7
2025-06-03 04:00:00,4,1,0,576.6,623.0,647.6,425.4,615.7333333333333,694.7833333333333,25.17,83.5,0,534.7,518.6
2025-06-03 05:00:00,5,1,0,534.7,576.6,623.0,422.1,578.1,641.9833333333332,25.44,84.5,0,518.6,493.9
2025-06-03 06:00:00,6,1,0,518.6,534.7,576.6,426.3,543.3000000000001,600.25,25.77,86.2,0,493.9,478.0
2025-06-03 07:00:00,7,1,0,493.9,518.6,534.7,424.3,515.7333333333333,565.7333333333332,26.22,85.3,0,478.0,574.3
2025-06-03 08:00:00,8,1,0,478.0,493.9,518.6,517.8,496.8333333333333,537.4666666666667,26.74,83.9,14,574.3,690.2
2025-06-03 09:00:00,9,1,0,574.3,478.0,493.9,649.0,515.4,529.35,27.09,82.6,22,690.2,810.8
2025-06-03 10:00:00,10,1,0,690.2,574.3,478.0,792.7,580.8333333333334,548.2833333333333,27.46,79.7,29,810.8,918.1
2025-06-03 11:00:00,11,1,0,810.8,690.2,574.3,901.4,691.7666666666665,594.3000000000001,28.3,79.5,34,918.1,1022.9
2025-06-03 12:00:00,12,1,0,918.1,810.8,690.2,1005.9,806.3666666666668,660.8833333333333,28.41,78.3,37,1022.9,1105.9
2025-06-03 13:00:00,13,1,0,1022.9,918.1,810.8,1095.0,917.2666666666665,749.0499999999998,28.89,78.6,39,1105.9,1178.1
2025-06-03 14:00:00,14,1,0,1105.9,1022.9,918.1,1164.0,1015.6333333333333,853.6999999999999,29.18,77.6,40,1178.1,1221.3
2025-06-03 15:00:00,15,1,0,1178.1,1105.9,1022.9,1202.3,1102.3,954.3333333333334,29.1,79.1,39,1221.3,1229.8
2025-06-03 16:00:00,16,1,0,1221.3,1178.1,1105.9,1220.3,1168.4333333333334,1042.85,28.64,76.1,37,1229.8,1215.6
2025-06-03 17:00:00,17,1,0,1229.8,1221.3,1178.1,1211.9,1209.7333333333333,1112.6833333333332,28.87,77.6,34,1215.6,1185.4
2025-06-03 18:00:00,18,1,0,1215.6,1229.8,1221.3,1182.6,1222.2333333333333,1162.2666666666667,28.6,79.1,29,1185.4,1130.7
2025-06-03 19:00:00,19,1,0,1185.4,1215.6,1229.8,1120.0,1210.2666666666667,1189.3500000000001,28.14,80.0,22,1130.7,1063.1
2025-06-03 20:00:00,20,1,0,1130.7,1185.4,1215.6,1058.4,1177.2333333333333,1193.4833333333333,27.56,81.1,14,1063.1,946.8
2025-06-03 21:00:00,21,1,0,1063.1,1130.7,1185.4,944.0,1126.3999999999999,1174.3166666666666,26.87,81.8,0,946.8,850.6
2025-06-03 22:00:00,22,1,0,946.8,1063.1,1130.7,851.5,1046.8666666666666,1128.5666666666666,26.21,84.4,0,850.6,774.9
2025-06-03 23:00:00,23,1,0,850.6,946.8,1063.1,769.0,953.5,1065.3666666666666,25.86,83.5,0,774.9,701.4
2025-06-04 00:00:00,0,2,0,774.9,850.6,946.8,701.0,857.4333333333334,991.9166666666666,25.52,86.1,0,701.4,651.3
2025-06-04 01:00:00,1,2,0,701.4,774.9,850.6,647.6,775.6333333333333,911.25,25.41,85.1,0,651.3,621.0
2025-06-04 02:00:00,2,2,0,651.3,701.4,774.9,623.0,709.1999999999999,831.35,25.36,85.2,0,621.0,578.5
2025-06-04 03:00:00,3,2,0,621.0,651.3,701.4,576.6,657.9,757.6666666666666,25.6,82.2,0,578.5,559.0
2025-06-04 04:00:00,4,2,0,578.5,621.0,651.3,534.7,616.9333333333333,696.2833333333333,25.66,81.3,0,559.0,528.4
2025-06-04 05:00:00,5,2,0,559.0,578.5,621.0,518.6,586.1666666666666,647.6833333333333,26.0,83.9,0,528.4,504.3
2025-06-04 06:00:00,6,2,0,528.4,559.0,578.5,493.9,555.3000000000001,606.6,26.51,83.5,0,504.3,495.4
2025-06-04 07:00:00,7,2,0,504.3,528.4,559.0,478.0,530.5666666666667,573.75,26.61,81.1,0,495.4,572.0
2025-06-04 08:00:00,8,2,0,495.4,504.3,528.4,574.3,509.3666666666666,547.7666666666667,27.03,80.3,14,572.0,676.4
2025-06-04 09:00:00,9,2,0,572.0,495.4,504.3,690.2,523.9,539.6,27.35,81.2,22,676.4,790.8
2025-06-04 10:00:00,10,2,0,676.4,572.0,495.4,810.8,581.2666666666668,555.9166666666666,27.38,79.6,29,790.8,917.7
2025-06-04 11:00:00,11,2,0,790.8,676.4,572.0,918.1,679.7333333333332,594.5500000000001,27.93,81.2,34,917.7,1029.9
2025-06-04 12:00:00,12,2,0,917.7,790.8,676.4,1022.9,794.9666666666667,659.4333333333333,28.52,80.2,37,1029.9,1118.0
2025-06-04 13:00:00,13,2,0,1029.9,917.7,790.8,1105.9,912.8000000000001,747.0333333333333,29.32,79.5,39,1118.0,1169.3
2025-06-04 14:00:00,14,2,0,1118.0,1029.9,917.7,1178.1,1021.8666666666668,850.8000000000001,29.43,79.5,40,1169.3,1215.0
2025-06-04 15:00:00,15,2,0,1169.3,1118.0,1029.9,1221.3,1105.7333333333333,950.35,29.45,77.5,39,1215.0,1223.6
2025-06-04 16:00:00,16,2,0,1215.0,1169.3,1118.0,1229.8,1167.4333333333334,1040.1166666666666,29.54,76.7,37,1223.6,1215.6
2025-06-04 17:00:00,17,2,0,1223.6,1215.0,1169.3,1215.6,1202.6333333333332,1112.25,29.15,78.1,34,1215.6,1194.7
2025-06-04 18:00:00,18,2,0,1215.6,1223.6,1215.0,1185.4,1218.0666666666666,1161.8999999999999,28.61,78.1,29,1194.7,1132.5
2025-06-04 19:00:00,19,2,0,1194.7,1215.6,1223.6,1130.7,1211.3,1189.3666666666666,28.51,78.7,22,1132.5,1061.3
2025-06-04 20:00:00,20,2,0,1132.5,1194.7,1215.6,1063.1,1180.9333333333334,1191.7833333333333,27.76,80.2,14,1061.3,944.8
2025-06-04 21:00:00,21,2,0,1061.3,1132.5,1194.7,946.8,1129.5,1173.7833333333333,27.12,82.6,0,944.8,857.7
2025-06-04 22:00:00,22,2,0,944.8,1061.3,1132.5,850.6,1046.2,1128.75,26.83,82.5,0,857.7,785.0
2025-06-04 23:00:00,23,2,0,857.7,944.8,1061.3,774.9,954.6,1067.7666666666667,26.32,85.1,0,785.0,719.7
